[11.08.2026 23:34:39] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 0:52:02] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 1:06:52] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 1:07:28] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 3:13:00] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 3:13:28] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 3:13:38] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 3:27:08] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 3:36:04] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 3:37:52] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 3:46:35] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 4:08:44] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:18:31] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:20:29] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:20:54] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:21:22] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:22:11] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:22:11] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:23:42] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:26:23] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:27:00] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:28:50] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:30:18] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:31:45] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:32:37] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:33:53] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:35:55] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:36:56] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:39:05] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:39:38] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:39:42] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:40:34] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:41:49] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:44:12] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:45:34] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 6:59:04] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 7:02:45] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 7:03:53] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 7:05:30] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 7:07:14] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 7:56:38] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 8:03:26] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 8:11:31] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 8:12:07] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:06:28] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:09:53] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:10:52] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:11:33] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:11:38] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:20:23] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:20:49] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:21:19] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:22:31] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:23:01] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:24:11] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:24:55] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:28:08] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:29:31] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:50:30] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:53:59] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:59:03] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 9:59:07] [INFO] received Windows console close event; shutting log-core down
[12.08.2026 10:24:34] [INFO] received Windows console close event; shutting log-core down
